url,title,property type,property size(Sq Ft),parking spots,lift,floor available,price(BDT),service charge(BDT),year built,building registration type,preferred tennant,interior,garage size(Sq Ft),front road size(Ft),common area(Sq Ft),bedrooms,bathrooms,location,postal code,division,country
https://rents.com.bd/property/a-modern-well-planned-flat-of-2000-sq-ft-is-up-for-rent-is-situated-in-banani-2/,A Modern Well-planned Flat Of 2000 Sq Ft Is Up For Rent Is Situated In Banani,Residential Apartment,2000,1,1,3,80000,8500,2010, Residential, Foreigner,Un-Furnished,120,16,180,3,3,Banani,1213,Dhaka,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-4500-sq-ft-is-up-for-rent-is-situated-in-gulshan/,A Modern Well-planned Flat Of 4500 Sq Ft Is Up For Rent Is Situated In Gulshan,Residential Apartment,4500,2,1,6-7  (Duplex),220000,17000,2012, Residential, Foreigner,Semi-Furnished,240,12,250,4,4,Gulshan,1212,Dhaka,Bangladesh
https://rents.com.bd/property/brand-new-and-tastefully-designed-this-20000-sq-ft-commercial-space-now-vacant-for-rent-in-gulshan-avenue/,Brand New And Tastefully Designed This 20000 SQ FT Commercial Space Now Vacant For Rent In Gulshan Avenue,Commercial Space,20000,5,3,11 to 15,2900000,300000,2023, Commercial,Corporate Office or MNC Office,Un-Furnished,600,50,1250,0,0,Gulshan,1212,Dhaka,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-2250-sq-ft-is-up-for-rent-is-situated-in-gulshan/,A Modern Well-planned Flat Of 2250 Sq Ft Is Up For Rent Is Situated In Gulshan,Residential Apartment,2250,1,2,7,100000,15000,2017, Residential, Foreigner,Un-Furnished,120,24,180,3,3,Gulshan,1212,Dhaka,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-4300-sq-ft-is-up-for-rent-is-situated-in-gulshan/,A Modern Well-planned Flat Of 4300 Sq Ft Is Up For Rent Is Situated In Gulshan,Residential Apartment,4300,2,2,5,220000,25000,2010, Residential, Foreigner,Un-Furnished,240,16,250,4,4,Gulshan,1212,Dhaka,Bangladesh
https://rents.com.bd/property/15000-sq-ft-full-building-is-available-for-rent-in-baridhara-diplomatic-zone/,15000 Sq Ft Full Building Is Available For Rent In Baridhara Diplomatic Zone,Residential Apartment,15000,3,0,G+4 ,1100000, ,1997, Residential, Foreigner,Un-Furnished,360,24,1400,9,9,Baridhara,1212,Dhaka,Bangladesh
https://rents.com.bd/property/tastefully-designed-this-3200-sq-ft-commercial-space-now-vacant-for-rent-in-banani/,Tastefully Designed This 3200 SQ FT Commercial Space Now Vacant For Rent In Banani,Commercial Space,3200,1,2,11,448000,32000,2010, Commercial,Corporate Office or MNC Office,Un-Furnished,120,50,250,0,0,Banani,1213,Dhaka,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-2000-sq-ft-is-up-for-rent-is-situated-in-banani/,A Modern Well-planned Flat Of 2000 Sq Ft Is Up For Rent Is Situated In Banani,Residential Apartment,2000,1,2,4,80000,8000,2015, Residential, Foreigner,Un-Furnished,120,24,180,3,3,Banani,1213,Dhaka,Bangladesh
https://rents.com.bd/property/excellent-flat-of-2300-sq-ft-is-available-for-rent-in-the-fine-location-of-banani/,Excellent Flat Of 2300 Sq Ft Is Available For Rent In The Fine Location Of Banani,Residential Apartment,2300,1,2,9,130000,9500,2010, Residential, Foreigner,Full-Furnished,120,24,180,4,4,Banani,1213,Dhaka,Bangladesh
https://rents.com.bd/property/brand-new-2050-sq-ft-apartment-now-vacant-for-rent-in-banani/,Brand New 2050 SQ FT Apartment Now Vacant For Rent In Banani,Residential Apartment,2050,1,2,5,110000,12000,2023, Residential, Foreigner,Un-Furnished,120,16,180,3,3,Banani,1213,Dhaka,Bangladesh
